機關代碼,縣市代碼,行政區域代碼,年月,土地總筆數,土地總面積,建物總棟數,建物總面積
387000000A,10019,66000000,10301,1521072,2097184590.68,965529,179334689.03
387000000A,10019,66000000,10302,1521544,2097176724.82,966146,179518582.94
387000000A,10019,66000000,10303,1522712,2097183973.64,967217,179875827.93
387000000A,10019,66000000,10304,1523617,2097153186.22,968018,180134472.76
387000000A,10019,66000000,10305,1524783,2097170978.25,969375,180586815.78
387000000A,10019,66000000,10306,1525499,2097113813.85,970835,180982594.02
387000000A,10019,66000000,10307,1525838,2097105584.73,972513,181386347.68
387000000A,10019,66000000,10308,1526696,2097137109.93,973283,181631128.91
387000000A,10019,66000000,10309,1527326,2097141481.81,974641,181986004.88
387000000A,10019,66000000,10310,1528570,2097148914.45,976014,182378059.99
387000000A,10019,66000000,10311,1529532,2097257907.10,978217,182930898.72
387000000A,10019,66000000,10312,1530401,2097422085.58,980275,183537936.64
387000000A,10019,66000000,10401,1530807,2097434119.87,981936,184003785.24
387000000A,10019,66000000,10402,1531917,2097353711.48,982716,184236637.40
387000000A,10019,66000000,10403,1532720,2097408090.35,983680,184515312.74
387000000A,10019,66000000,10404,1533469,2097413303.53,984558,184765234.85
387000000A,10019,66000000,10405,1534232,2097434758.10,986182,185155895.92
387000000A,10019,66000000,10406,1534651,2097447113.27,987249,185515762.61
387000000A,10019,66000000,10407,1535202,2097446459.76,988735,185955262.76
387000000A,10019,66000000,10408,1535641,2097449625.90,989262,186176970.06
387000000A,10019,66000000,10409,1536312,2097494898.27,991002,186883858.38
387000000A,10019,66000000,10410,1537093,2097513874.96,992058,187248261.84
387000000A,10019,66000000,10411,1536741,2097593113.93,994873,187972985.96
387000000A,10019,66000000,10412,1538008,2098422708.28,997072,188598691.70
387000000A,10019,66000000,10501,1538838,2098420761.96,998287,188971688.70
387000000A,10019,66000000,10502,1539231,2098267527.98,1000260,189506250.21
387000000A,10019,66000000,10503,1539776,2098260062.83,1001063,189784960.48
387000000A,10019,66000000,10504,1540401,2098264499.11,1001678,190007777.38
387000000A,10019,66000000,10505,1541339,2098266746.64,1002216,190205776.11
387000000A,10019,66000000,10506,1541917,2098310692.87,1002874,190586930.12
387000000A,10019,66000000,10507,1542751,2098429131.93,1003290,190725009.10
387000000A,10019,66000000,10508,1543354,2098395940.66,1004676,191080516.90
387000000A,10019,66000000,10509,1543932,2098402947.59,1006557,191622442.65
387000000A,10019,66000000,10510,1543641,2098356212.43,1007587,191911290.94
387000000A,10019,66000000,10511,1545539,2098567209.30,1009331,192293197.13
387000000A,10019,66000000,10512,1546933,2098824426.63,1011551,192785980.83
387000000A,10019,66000000,10601,1548094,2098842905.00,1012669,193153797.42
387000000A,10019,66000000,10602,1548081,2098692246.05,1014101,193590849.45
387000000A,10019,66000000,10603,1548882,2099097892.11,1015309,193869701.78
387000000A,10019,66000000,10604,1549687,2099240946.05,1016324,194099762.12
